qid	content	sentiment
100344	不要以为我挂了机，我就打不过你们	1
100345	龌挂机，举报我啊	1
100346	我直接想挂机兵线也不给我。	1
100347	哈哈要是我送韩信干嘛不来	1
100348	怎么把我传送到水晶里。	1
100349	然后让我送死你拿人头	1
100350	你不来上路，我就讼。	1
100351	我公孙离女生什么屁啊，把我妈送。	1
100352	你怎么不说前期有人挂机抓我几次了。	1
100353	上路给我送费？	1
100354	去给我家期期送俩个	1
100355	我就抢你可以你去送啊	1
100356	我想说，为什么你们不会看地图吗，送了。	1
100357	在你送了四个的时候我就不想玩了	1
100358	我看看下路一打二你咋送的	1
100359	对面让让啊我们有个挂机	1
100360	我带躺，你们别送	0
100361	我我真的服了你了，别送了。	0
100362	花木兰你死了，这次可以送我皮肤了吧。	0
100363	别老让我送人头。	0
100364	跟我演是吧。	1
100365	诸葛亮你别挂机，我们就满意了。	0
100366	不是你们送是我们太凶了，免得新药的。	1
100367	这后羿牛系我丝血送肉。	1
100368	这有什么，我昨天打，对面一队都是挂	1
100369	我们多送一点。	1
100370	送的让我觉得心痛	1
100371	我们这边的妲己是个演员，你们高兴的。	1
100372	我说他是演员呦人反驳吗	1
100373	咋就是我演了	1
100374	我看你就是挂。	1
100375	你只要不送我们就不举报你了。	1
100376	我也想学学对面姜子牙送送	1
100377	不会玩的话别送别出去，我们打。	0
100378	那我想送就死。	1
100379	我发现微信特多人挂机	1
100380	我都把自己挂你腰带上了还怎么样啊。	1
100381	矶续吃，我整个野区都送你们	1
100382	我这里开演唱会好吵	1
100383	这个离线你送后羿你都不送我是吧。	1
100384	你是怎么做到前期压制我的你开挂。	1
100385	我刚刚要上去打团一个东西把我给送回家了。	1
100386	看你们送的人头和经济，你们会我不会。	1
100387	集体举报典韦待会加我送电卷	1
100388	这么有缘相见，要不你们排队给我送个五杀吧	1
100389	给我送个皮肤行。	0
100390	把中路送起来，卧打	1
100391	不是我们旁后羿下路给你送你能这样吗	1
100392	自己看看白起，我送？	1
100393	太卡了我挂了吧不耽误你们了	1
100394	你是在送我的蓝吗。	1
100395	再抢我直接送啊。	1
100396	还不是我们有个挂机。	1
100397	我闷一对俩挂机的。	1
100398	铠可以送我288的皮肤吗？	0
100399	我靠，这亚瑟开挂。	1
100400	要不是因为我英雄压制呢，我才不送你呢。	1
100401	你别送我有百分五十的把握赢。	0
100402	我送了一半。。。	1
100403	我是谁都送后羿五个人头了。	1
100404	卖几次我送几次	1
100405	感觉我们次次都在送双杀	1
100406	我是充话费送的吗。	1
100407	没关系，没关系，你们继续送我看着。	1
100408	百里守约和我们没关系，他只不过是一个送人	1
100409	一直送还好意思说我。	1
100410	我放挂机王昭	1
100411	什么时候送我of	1
100412	我们快点.对面韩信gua机了。	1
100413	你看我挂掉电话我就不卡了。	1
100414	不知道还以为我送人头呢！看看你们怎么打的	1
100415	哥哥可不可以送我一个千年之狐呀。	1
100416	闪现送人头，我好不	1
100417	我的妈呀，你能送我几个皮肤。	0
100418	我有点儿事儿，先剐机一下。	1
100419	好的我会听话好好送的	1
100420	我送到你	1
100421	送人头肥的猪一样，让我去团？	1
100422	别送啊，大哥们我都没伤害了。	0
100423	要是不行，我再送你吧。	1
100424	我这边两个挂机	1
100425	不要打我野不然送	1
100426	你们谁送我一个猴子的皮肤。	0
100427	你不送都是我erzi	1
100428	我就看着媉去送死	1
100429	队长能送我个皮肤吗，悟空。	0
100430	多送点，我还成受得了	1
100431	阿珂姐，你能送我庄周六元皮肤吗？	0
100432	对面后羿挂机了牛魔可以跟着我打了。	1
100433	我都这么演，你们都赢不了。	1
100434	就我觉得我可能送一血了。	1
100435	直接让我去送死吗？	1
100436	你是不是开挂，我怎么一进来就卡住。	1
100437	让我出去送吗	1
100438	凯挂机鲃我都替你丢脸	1
100439	对面的大猲，我求你了，送个给我	1
100440	那你别送啊，我就拼命的送。	0
100441	我又不是故意送人头，举报什么呀。	1
100442	对面韩信有本事来送我呀。	1
100443	我送你门三个人头，你们也不行啊。	1
100444	你们刚开始送那么多，我谁都打不动，怎么发	1
100445	行行行，我不会，我挂机让你带得了吧。	1
100446	15点血，我去送	1
100447	过段时间我送你永久的	1
100448	亚瑟你开挂了吧，我去。	1
100449	别举报，我演员	1
100450	你说我不行那我直接送	1
100451	我开挂飞过来朳。	1
100452	我救你我还挂了。	1
100453	在家拖我直接出去送	1
100454	我方打野自称梦泪，结果冲去送。	1
100455	我怎么送塔了。	1
100456	待会输了别说因为你给我送了。	1
100457	我家射手挂机的	1
100458	不是我们送是你不集合。	1
100459	我先挂机一下有事	1
100460	还没送你暴君的我会慢点的。	1
100461	凇的别人可以越塔杀我了	1
100462	对面亚瑟挂机了我也挂机吧	1
100463	不行我也挂机了	1
100464	有的话，我把我号送给你东西。	1
100465	把猴子送这么肥，我怎么打。	1
100466	我要是这么送我都投了	1
100467	你别去送啊，我去。	1
100468	我不送你一个人头了吗。	1
100469	鲁班你在打野我就送	1
100470	我上路已经压制adc了，是你们玩不好送a	1
100471	你们把经济送这么高怪我詥。	1
100472	刚刚去表演没事的，我去跟后羿吧。	1
100473	我看你们送到什么时候	1
100474	不是不给吗，不给不给我送人头呗，晡行呗。	1
100475	这是我送给你	1
100476	我怕你们说我送	1
100477	我不是演员就是坑	1
100478	我送了吗，打团你们都不来，我跳了也没用啊	1
100479	说我开挂。。	1
100480	我挂机你害打不过我。	1
100481	我给你们送五杀，你们别推塔。	1
100482	免得你们嫌沃挂机	1
100483	看看我们送了这么多人头还不琪琪你嘛。	1
100484	我来松死的	1
100485	别人凭本事儍的我我怎么是送的了？	1
100486	你说我该出去，不过我刚才挂机了啊。	1
100487	名字恩宝碰到挂挤的了，我都不知道怎么回事	1
100488	我跟着你送了	1
100489	被抓说我送	1
100490	我就是送人头，你又咋了。	1
100491	送我我就有了。	1
100492	你确定我送了？	1
100493	卖我两次，不演对不起自己	1
100494	你前期送我说什么了？	1
100495	送成狗你让我怎么打	1
100496	我就怀疑了，你们是不是都来演戏。	1
100497	自己不会玩送了还说我你滚吧。	1
100498	我也会演哦	1
100499	我不玩了，我直接送	1
100500	哪吒一会我们四个挂忌。	1
100501	你再打我就不演	1
100502	要送我白龙吟。	1
100503	不团我就挂机了，	1
100504	没事野刀才11层，想让我送就继续打野	1
100505	那我挂机你闷举报吧。	1
100506	我就不出去举报你送人头	1
100507	打死他我就送	1
100508	干将你说对不对，你送我的。	1
100509	我会送为什么要投呢。	1
100510	我去大桥，你到底是不是演员。	1
100511	送起来了让我去？？	1
100512	傻鱼让你跟我啊，还去送	1
100513	我是小姐姐可以送我一个朱雀之嘛。	1
100514	对面滴快点呀，我都送了好多，你们还推不下	1
100515	对面给我们送福利。	1
100516	再不团结我就挂机	1
100517	这样说那我就挂机吧	1
100518	我喜欢有人挂机谢谢	1
100519	我送你骂去火化	1
100520	你们不让我杀一个以为我送人头的	1
100521	鲁班你在抢野，我直接去送人头。	1
100522	自己傻一直送怪我咯。	1
100523	那我送你三个吧。	1
100524	怎么这不，我靠，挂机了。	1
100525	我送了一半以上的人头……	1
100526	我没技能，你想让我过去送人头是吧。	1
100527	我可能才是演员。	1
100528	我演吧玩尼玛	1
100529	那要不然我送给你看。	1
100530	别当演员在这浪费我时间。	1
100531	那么好送我一血	1
100532	别打我这里送。	1
100533	后羿少送一点，我们还能打	1
100534	拿我一个野我就送	1
100535	我没死一胳都不来帮忙，我死了一个一个来送	1
100536	你们快点打不然我真挂机了。	1
100537	你要吃我经验我就送	1
100538	要是我不送你们人头你们就已经输了。	1
100539	妹，我俩挂机吧，	1
100540	郝了我要演了	1
100541	你们想赢吗，叫大哥我挂机。	1
100542	他演我n把了	1
100543	快点再打几分钟，我要挂机了。	1
100544	我都不玩了送没看出来吗	1
100545	说了我有透视挂。	1
100546	涡就慢慢送吧	1
100547	要不我们全挂机	1
100548	反正不是我送的哦。	1
100549	服我服你送了这么多人头。	1
100550	我在上班，说不定就会挂机	1
100551	战绩送给我家	1
100552	你能演，我也会，	1
100553	每次都是我先挂，	1
100554	在抢我野玩吗，直接送。	1
100555	我可能要挂机，我要走了。	1
100556	你不会玩别给我送行吗	1
100557	可是我会送人头，怎么办。	1
100558	不会玩鲁班，我就只有送人头	1
100559	我是一个爱送人头的小宫本	1
100560	法师你演好啊，名字我记得。	1
100561	这样说那我就演了	1
100562	教我怎么送。	1
100563	好，我和百里挂机，让你玩	1
100564	你们咋不跟我抢，我就挂机。	1
100565	我一直在你身边想到你把我送回家。	1
100566	朋友啊让我一起送人头	1
100567	对面有没有小姐姐，我会送人偷	1
100568	没血了，来我附近回去补血，然后我大招传送	1
100569	廍团我故意送人头了	1
100570	给我加这么多送人头的	1
100571	如果你敢送五个人头给他的话我撞死。	1
100572	十块钱就开始演我们边	1
100573	我服了你了每次都是拿篮送	1
100574	我赢了能送我李白皮肤吗	0
100575	哇我才送緉个?	1
100576	捼叫你在家呆着挂机，别送人头。	0
100577	真有脸了是吗？你不来送我会受不住	1
100578	我已经祝福过演员了，没有必要再骂了	1
100579	不是我说，你们真的褦送。	1
100580	你们是会玩吗，还是会送我怎么回事你们。	1
100581	我刚刚挂机了，所以没有发育起来，不然我有	1
100582	皮肤送我一个可以吗。	0
100583	别菘了我不送了。	1
100584	呀我好像又送了	1
100585	你们把对面送起来了我怎么打？	1
100586	我挂机了再这样	1
100587	我挂机你们打吧菜狗	1
100588	吓我一跳，我还以为鲁班挂机了。	1
100589	别欺负演员，来抓我	1
100590	楃朋友挂机了。	1
100591	帮我举报李白我送一个	1
100592	没错我就在送	1
100593	你们怎么这么喜欢把塔送我们拆	1
100594	那你自己打我们两个挂机。	1
100595	你啥的都我送了么	1
100596	我都死了，你还快去送。	1
100597	李白不装你们全挂机我都服	1
100598	举报我什么？？握举报你送人头是真的	1
100599	我就说队友会送吧	1
100600	后羿挂机了跟我。	1
100601	我到你们已经送你们终结了，你们能不能给我	1
100602	哎，你送我啥皮肤啊。	0
100603	信不信我们一起挂机？	1
100604	对面送我个5杀吧	1
100605	元芳，哥哥我求你了，别送。	0
100606	我没有开挂，我在国际服里面滴名字叫做四意	1
100607	帮我们举报一下，那两个挂机的大兄弟。	1
100608	猴子我来送。	1
100609	你颜我呢曲工仝	1
100610	我咔咔塞激駳给你mia屁演子	1
100611	我聊过我送你一个黄金射手座。	1
100612	这不是让我送死。	1
100613	送我个一血，你就好看。	1
100614	我在你们有能不能送我一个李白。	1
100615	我一直在送啊，运气好。	1
100616	不是送我不知道草丛里，那么多人。	1
100617	送的对面那么肥叫我怎么打呀。	1
100618	我说他两句就挂机了。	1
100619	就你们这演员我和你们打不了	1
100620	必输局我选择挂机	1
100621	我承认你们演的好	1
100622	我送了一半人头..	1
100623	为啥非要给偓送。	1
100624	那完了，我就送。	1
100625	韩信你是不是开挂了，我为什么打不到你。	1
100626	咽我快点	1
100627	过来给我们送惊喜的吗。	1
100628	你不过来就是把我送出去推出去死了。	1
100629	来我下路送的gou一样	1
100630	怎么玩，搞我生气就像上次挂机	1
100631	再比比我们全挂机让他一个人打	1
100632	等于送了我	1
100633	谁送给我皮肤，我拜谁为师。	0
100634	我有事…挂饥下	1
100635	我们去送一个五杀吧	1
100636	再不推我送人头了啊，就开始送了。	1
100637	我是怎么挂的？	1
100638	对啊，我送的比较厉害。	1
100639	没挂机啊，我以为挂机了呢。	1
100640	遇到玄策这种人我就半挂机状态	1
100641	我方猴子是不是挂机了？0	1
100642	0挂6我求你别说话了	1
100643	你刚才抢一下我就敢送十个。	1
100644	对面帮我举报孙策他挂机了。	1
100645	你要再跟我直接送。	1
100646	辅助你送狗了没我	1
100647	周瑜你能不能猥琐点，他我们方就是你送对面	1
100648	你挂机看我羆赢不	1
100649	我们的鱼是个演员，谢谢。	1
100650	猴子我求之不得，赶紧挂机。	1
100651	没人带线偓只能送了，	1
100652	高渐离跟撯我送人头。	1
100653	我的小号无限送。	1
100654	幸好我有闪现，要不然就挂了。	1
100655	你在抢我蓝试试，我当场挂机给你看。	1
100656	我好像说别送	0
100657	不要演我，上局那群猪队友整的我很烦	1
100658	你在抢蓝，我真送人头。	1
100659	杨玉华，我觉得你老是送人头的不是打的。	1
100660	算了，我不演了。	1
100661	你说的对我送	1
100662	把他们送回我就打不了了	1
100663	你能把这边玄策打爆我给你们送皮肤。	0
100664	对面投降，我可以给你们送一个皮肤哦。	0
100665	他自己要送我为什么要陪	1
100666	我这边还有挂机的呢。	1
100667	我一天连续遇到三次挂机遭贼。	1
100668	如果都不挂机我早就王者了	1
100669	我就艹TM了，连4把碰到挂机的	1
100670	你们抢我的野就是送。	1
100671	我也服了你自己去送了一？个让我们团	1
100672	你给我送什么送。	1
100673	我会啊，至少我不会送。	1
100674	那我看到练英雄，我就想送。	1
100675	你们送起来的。不怨我	1
100676	你送了条命，我没助攻，我还浪费了大。	1
100677	你们继续送，我来抓算沃输	1
100678	我们的肉是演员	1
100679	不让中我就咽	1
100680	我靠，两棒就挂了。	1
100681	别送了再送就输了，我们守吧。	0
100682	你两送还说我	1
100683	我送了四个你就比我多了三百经济。	1
100684	我送尼玛死粃	1
100685	不是要演我嘛？	1
100686	给我个残血送他们全家升天	1
100687	靠我一个人玩，两个肉都送	1
100688	吕布好好玩我送你一个皮肤	0
100689	东皇挂机吧、你𠮨逋到我	1
100690	你们在不团我挂机了	1
100691	你送我木兰皮肤	0
100692	我跑撯送？	1
100693	送雨，我去上	1
100694	谁如果送第一滴血，我就举报。	1
100695	一会我给你送	1
100696	一直过来偷个蓝，然后送给我队友。	1
100697	貂蝉，我不知道你怎么好意思说我送的	1
100698	妈再说，老子就送人偷你咬我。	1
100699	举报我开挂，谢谢	1
100700	李白给我们送人头呗。	1
100701	送我改名卡我把名字改了怎么样？	1
100702	你不是说少送一点吗，我不是不想过去松人头	1
100703	我还以为是说我挂机呢	1
100704	想要一个星矢皮肤，有人能送我嘛？	0
100705	哎，演我晋级赛。	1
100706	没事，我职业送人头	1
100707	我就问一下，谁送的一血。	1
100708	对面好没用，我都这么送了	1
100709	后羿你再动龌野我就送	1
100710	我得螾得像点	1
100711	我刚送你花，你没领。	1
100712	兄弟看我百纷百胜率想演我是吗。	1
100713	我说你们不送不舒服，是不是。	1
100714	我已经把我送到人头赚回来了。	1
100715	你咋不说我们输了呢，对面有个李白奉送。	1
100716	我真的求求你们两个双排的能不能不要送人头	1
100717	在BB我挂机了啊。	1
100718	我射手挂机了巨难受。	1
100719	我怕是遇到演员了。	1
100720	我去骚扰，不要说我送人头。	1
100721	你想让我挂机吗	1
100722	我去，叫沃去送死	1
100723	搞快点行吗还抓我？我被演还要别举报？	1
100724	我们的韩信会花式送人头	1
100725	这局还要带飞，我送你个皮肤。	0
100726	不投我也gua	1
100727	他们都是抓的我们是送的。	1
100728	就凭你说的这句话我们这把都想挂机。	1
100729	我要开始演啊。	1
100730	我送n嘛了	1
100731	我他妈对面拿送别人，我就把他僸。	1
100732	有玫瑰就餸我知道不。	1
